"Time (UTCG)","x (km)","y (km)","z (km)"
25 Jul 2022 18:16:20.000,819.807063,1380.832907,-785.412905
25 Jul 2022 18:16:30.000,810.888190,1391.269276,-776.213511
25 Jul 2022 18:16:40.000,801.900335,1401.586753,-766.947480
25 Jul 2022 18:16:50.000,792.844260,1411.784461,-757.615607
25 Jul 2022 18:17:00.000,783.720735,1421.861531,-748.218687
25 Jul 2022 18:17:10.000,774.530537,1431.817102,-738.757525
25 Jul 2022 18:17:20.000,765.274447,1441.650322,-729.232932
25 Jul 2022 18:17:30.000,755.953254,1451.360351,-719.645722
25 Jul 2022 18:17:40.000,746.567753,1460.946358,-709.996717
25 Jul 2022 18:17:50.000,737.118744,1470.407523,-700.286746
25 Jul 2022 18:18:00.000,727.607035,1479.743037,-690.516644
25 Jul 2022 18:18:10.000,718.033438,1488.952106,-680.687249
25 Jul 2022 18:18:20.000,708.398770,1498.033943,-670.799407
25 Jul 2022 18:18:30.000,698.703853,1506.987779,-660.853967
25 Jul 2022 18:18:40.000,688.949512,1515.812851,-650.851784
25 Jul 2022 18:18:50.000,679.136579,1524.508412,-640.793715
25 Jul 2022 18:19:00.000,669.265885,1533.073723,-630.680621
25 Jul 2022 18:19:10.000,659.338268,1541.508057,-620.513370
25 Jul 2022 18:19:20.000,649.354570,1549.810697,-610.292829
25 Jul 2022 18:19:30.000,639.315635,1557.980935,-600.019873
25 Jul 2022 18:19:40.000,629.222313,1566.018072,-589.695379
25 Jul 2022 18:19:50.000,619.075459,1573.921421,-579.320230
25 Jul 2022 18:20:00.000,608.875930,1581.690303,-568.895312
25 Jul 2022 18:20:10.000,598.624591,1589.324051,-558.421517
25 Jul 2022 18:20:20.000,588.322312,1596.822007,-547.899743
25 Jul 2022 18:20:30.000,577.969966,1604.183524,-537.330891
25 Jul 2022 18:20:40.000,567.568434,1611.407970,-526.715869
25 Jul 2022 18:20:50.000,557.118598,1618.494722,-516.055590
25 Jul 2022 18:21:00.000,546.621349,1625.443171,-505.350969
25 Jul 2022 18:21:10.000,536.077580,1632.252720,-494.602929
25 Jul 2022 18:21:20.000,525.488187,1638.922784,-483.812394
25 Jul 2022 18:21:30.000,514.854073,1645.452794,-472.980293
25 Jul 2022 18:21:40.000,504.176141,1651.842190,-462.107558
25 Jul 2022 18:21:50.000,493.455302,1658.090426,-451.195123
25 Jul 2022 18:22:00.000,482.692467,1664.196968,-440.243927
25 Jul 2022 18:22:10.000,471.888552,1670.161295,-429.254911
25 Jul 2022 18:22:20.000,461.044477,1675.982898,-418.229016
25 Jul 2022 18:22:30.000,450.161165,1681.661278,-407.167191
